Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
62000;506.300000;887.400000;726.860000;;513.900000;818.600000;704.170000;;8.200000;19.400000;10.590000
63000;347.900000;769.500000;680.300000;;242.400000;785.600000;654.300000;;8.400000;21.200000;11.860000
64000;641.800000;1136.200000;785.120000;;635.100000;962.700000;773.020000;;9.000000;28.100000;16.930000
65000;577.100000;1206.300000;897.730000;;564.700000;1174.800000;877.010000;;8.500000;22.500000;16.420000
66000;605.200000;852.500000;781.940000;;649.400000;865.300000;781.990000;;8.400000;66.200000;19.680000
67000;771.200000;958.700000;849.540000;;725.900000;958.300000;832.120000;;8.900000;21.400000;15.690000
68000;624.400000;855.100000;761.400000;;630.000000;860.600000;760.200000;;8.700000;25.500000;13.870000
69000;631.800000;899.200000;817.110000;;661.100000;1064.400000;852.010000;;9.500000;68.700000;24.560000
70000;241.400000;896.000000;713.160000;;247.300000;1119.700000;735.580000;;9.600000;62.900000;20.080000
71000;545.200000;1010.300000;854.270000;;507.500000;999.600000;824.800000;;9.400000;80.800000;23.420000
72000;559.800000;1031.800000;867.210000;;644.200000;968.600000;855.780000;;9.400000;116.500000;27.530000
73000;820.400000;1081.000000;913.550000;;767.000000;1015.400000;897.210000;;9.700000;61.200000;21.370000
74000;721.600000;1025.200000;872.460000;;680.000000;969.600000;858.390000;;9.500000;63.800000;16.200000
75000;783.000000;1080.600000;916.020000;;784.400000;1014.200000;920.700000;;9.800000;85.700000;24.140000
76000;766.500000;1185.500000;956.730000;;683.800000;1350.600000;976.200000;;10.100000;89.300000;31.760000
77000;689.700000;1119.400000;876.360000;;662.100000;941.800000;837.250000;;10.000000;29.400000;16.850000
78000;935.800000;1252.600000;1082.650000;;938.300000;1237.500000;1094.360000;;11.000000;186.600000;101.350000
79000;616.500000;1289.600000;1041.500000;;561.900000;1144.500000;1047.430000;;10.100000;196.300000;65.790000
80000;800.300000;1191.400000;1011.300000;;851.900000;1165.800000;1025.890000;;11.500000;212.400000;111.090000
81000;804.600000;2316.000000;1337.750000;;888.700000;1946.000000;1314.240000;;11.300000;360.300000;129.540000
82000;669.700000;1299.700000;947.870000;;664.600000;1213.900000;920.680000;;10.400000;100.800000;36.510000
83000;988.100000;1275.300000;1122.050000;;949.000000;1323.200000;1148.680000;;10.300000;217.600000;135.900000
84000;956.900000;1299.300000;1150.760000;;954.100000;1220.100000;1117.690000;;11.500000;173.800000;124.440000
85000;605.600000;1120.000000;972.270000;;644.000000;1114.400000;975.440000;;20.700000;75.100000;28.740000
86000;807.400000;1955.800000;1150.600000;;754.500000;2010.200000;1216.660000;;11.000000;272.400000;96.370000
87000;753.400000;1177.000000;992.670000;;760.400000;1188.300000;1037.590000;;11.100000;174.600000;78.940000
88000;728.800000;1234.400000;1012.400000;;722.200000;1242.200000;1066.460000;;11.400000;150.100000;60.060000
89000;731.300000;1121.600000;998.660000;;733.200000;1151.000000;979.020000;;11.800000;87.300000;32.030000
90000;888.100000;1575.100000;1111.570000;;903.400000;1468.500000;1110.020000;;11.700000;65.100000;27.680000
91000;848.500000;1507.400000;1107.840000;;893.600000;1651.900000;1150.470000;;11.300000;85.600000;27.080000
92000;766.400000;1197.300000;994.320000;;730.900000;1321.900000;1014.070000;;12.000000;84.400000;27.280000
93000;541.900000;1284.800000;1038.050000;;477.600000;1223.900000;1040.660000;;12.700000;89.100000;30.210000
94000;698.600000;1458.700000;968.130000;;622.000000;1238.500000;951.080000;;12.300000;100.200000;37.560000
95000;965.300000;1220.600000;1101.310000;;965.400000;1218.900000;1096.540000;;12.900000;94.600000;36.510000
96000;1031.700000;2085.400000;1330.230000;;1035.300000;1764.300000;1232.210000;;12.600000;108.300000;32.790000
97000;822.500000;1291.100000;1094.420000;;858.800000;1405.700000;1086.650000;;13.300000;92.600000;39.840000
98000;768.900000;1432.900000;1138.180000;;838.100000;1588.000000;1131.340000;;11.900000;37.300000;21.690000
99000;1080.800000;1351.100000;1155.660000;;1102.500000;1282.400000;1175.130000;;12.500000;86.900000;37.370000
100000;1025.300000;1874.200000;1224.970000;;1006.500000;1421.100000;1179.340000;;13.000000;91.300000;48.780000
