Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
75000;0.5;0.6;0.53;;0.5;0.6;0.51;;0.5;0.6;0.51
76000;0.5;0.6;0.53;;0.4;0.6;0.5;;0.5;0.5;0.5
77000;0.5;0.6;0.56;;0.5;0.6;0.51;;0.5;0.6;0.53
78000;0.5;0.6;0.54;;0.5;0.6;0.52;;0.5;0.6;0.51
79000;0.5;0.6;0.53;;0.5;0.6;0.51;;0.5;0.6;0.51
80000;0.5;0.6;0.53;;0.5;0.6;0.51;;0.5;0.6;0.51
81000;0.5;0.6;0.54;;0.5;0.6;0.52;;0.4;0.6;0.51
82000;0.5;0.6;0.54;;0.5;0.6;0.52;;0.5;0.6;0.53
83000;0.5;0.6;0.55;;0.5;0.6;0.53;;0.5;0.6;0.53
84000;0.5;0.6;0.57;;0.5;0.6;0.51;;0.5;0.6;0.51
85000;0.5;0.6;0.56;;0.5;0.5;0.5;;0.5;0.6;0.55
86000;0.5;0.6;0.54;;0.5;0.5;0.5;;0.5;0.6;0.52
87000;0.5;0.6;0.56;;0.5;0.6;0.52;;0.5;0.6;0.54
88000;0.5;0.6;0.56;;0.5;0.6;0.51;;0.5;0.6;0.52
89000;0.5;0.6;0.52;;0.5;0.6;0.53;;0.5;0.6;0.53
90000;0.5;0.7;0.53;;0.5;0.5;0.5;;0.5;0.6;0.53
91000;0.5;0.6;0.52;;0.5;0.5;0.5;;0.5;0.6;0.53
92000;0.5;0.6;0.56;;0.5;0.6;0.51;;0.5;0.6;0.51
93000;0.5;0.6;0.54;;0.5;0.6;0.52;;0.5;0.5;0.5
94000;0.5;0.6;0.53;;0.5;0.6;0.51;;0.5;0.6;0.53
95000;0.5;0.6;0.57;;0.5;0.5;0.5;;0.5;0.5;0.5
96000;0.5;0.6;0.53;;0.5;0.5;0.5;;0.5;0.6;0.53
97000;0.5;0.6;0.53;;0.5;0.6;0.51;;0.4;0.6;0.54
98000;0.5;0.6;0.52;;0.5;0.5;0.5;;0.5;0.5;0.5
99000;0.5;0.6;0.56;;0.5;0.6;0.53;;0.5;0.5;0.5
100000;0.5;0.6;0.55;;0.5;0.6;0.51;;0.5;0.6;0.51
