Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
78000;918.8;1249.6;1023.26;;974.9;1091.4;1031.34;;138.8;456.4;323.49
79000;966.5;1097.4;1017.13;;988.3;1136.1;1046.31;;132.3;450.9;310.63
80000;793.2;1089.7;903.81;;878.6;1008.4;928.1;;29.7;498.1;276.52
81000;761.8;1260.5;1061.39;;836.9;1222.3;1110.49;;203.1;548.5;349.29
82000;925.6;1215.8;1023.85;;998.6;1161.4;1062.22;;202.2;473.8;297.2
83000;708.6;1106;891.21;;779.7;1119.3;930.03;;97.7;431.6;315.66
84000;861;1194.9;1049.12;;921;1270.1;1080.55;;210;459.5;358.01
85000;820.9;1182;1076.2;;827.8;1272.7;1115.53;;147.8;489.6;405.23
86000;867.7;1324.4;1088.54;;946.2;1246;1117.82;;205.8;564.4;412.17
87000;662.7;1318.3;1021.51;;699.5;1160.5;1042.43;;95.2;486.8;298.41
88000;671.4;1388.9;1081.86;;728;1307.5;1081.94;;324.2;509.1;409.52
89000;977.3;1374.7;1178.61;;969.4;1249.3;1140.45;;108.3;499.4;313.21
90000;869.1;1555.2;1176.44;;958.6;1294.1;1123.1;;91.3;399.2;284.69
91000;945.1;1189.2;1060.86;;958.5;1138.7;1060.25;;174;641.6;316.71
92000;882.4;1195.8;1063.73;;849.4;1192.2;1050.04;;113.4;532.9;320.48
93000;642.9;1355;1016.16;;706.9;1158.9;1003.92;;205.7;601.4;364.45
94000;508.4;1384.6;1113.85;;993.9;1455.4;1128.77;;34.4;412.7;238.33
95000;932.4;1326.1;1065.05;;883;1193.1;1071.01;;12.7;527.2;256.92
96000;898.9;1293.1;1072.86;;868.2;1175.7;1061.4;;124.3;514.8;342.19
97000;763.1;1418.4;1065.4;;772.4;1206.6;1057.17;;37.6;466.4;332.72
98000;1016.3;1425.3;1219.1;;957.8;1294;1174.22;;39.3;489.3;325.33
99000;840.5;1293.5;1078.74;;896;1197.3;1057.7;;294.9;469.7;356.96
100000;999.1;1424.3;1169.65;;905.9;1249.7;1136.86;;105.5;431.6;293.86
