Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
76000;1.7;4.8;3.16;;1.4;4.4;2.72;;1.5;3.7;2
77000;1.8;5.9;3.67;;1.6;6.4;3.39;;1.5;4.6;2.48
78000;1.7;6.4;3.64;;1.6;4;2.66;;1.6;4.7;2.42
79000;2.3;5.8;3.4;;1.4;7.8;3.3;;1.4;4.2;2.39
80000;2.1;9.9;4.07;;1.6;5.8;2.89;;1.3;4.2;2.23
81000;2.3;5;3.44;;1.4;4.7;2.52;;1.4;3.8;2.36
82000;1.7;5.5;3.29;;1.6;5.5;3.57;;1.7;4.4;2.84
83000;1.8;5.6;3.21;;1.5;5.7;2.92;;1.6;4.5;2.62
84000;1.7;5.7;3.38;;1.6;5.9;2.9;;1.3;4.4;2.31
85000;2;5.6;3.69;;1.5;5.1;2.92;;1.4;4.8;2.77
86000;1.5;5.6;3.24;;1.5;5.1;3.05;;1.3;3.3;2.03
87000;2.4;8.1;4.11;;1.7;5.9;3.63;;1.6;6.3;2.69
88000;2.3;5.4;3.45;;1.4;4.6;3.15;;1.3;3.7;2.29
89000;1.7;5.9;3.19;;1.5;5.9;3.03;;1.6;3.1;2.16
90000;1.7;4.7;3;;1.5;3.3;2.15;;1.6;3.6;2.04
91000;2.7;5.8;3.82;;1.6;5.6;3.16;;1.7;4.6;2.09
92000;1.5;5.9;3.63;;1.4;3.7;2.69;;1.4;4.7;2.72
93000;1.8;5.9;3.44;;1.7;6.2;3.6;;1.6;6.1;2.94
94000;1.7;5.7;3.51;;1.6;5.7;3.26;;1.3;4.6;2.28
95000;1.9;4.7;3.76;;1.6;4.7;3.01;;1.6;6.4;2.96
96000;3.2;6;4.43;;1.7;5.6;3.36;;1.5;4.7;2.78
97000;1.4;5.1;3.09;;1.4;4.7;3.04;;1.4;4;2.46
98000;1.7;5.9;3.83;;1.7;5.3;3.09;;1.6;4.8;2.54
99000;2.2;5.7;3.88;;1.4;5.9;3.19;;1.3;4.4;2.49
100000;1.7;4.6;2.95;;1.5;5.8;3.12;;1.6;5.1;2.9
