Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
62000;434.500000;621.100000;564.650000;;440.100000;626.600000;563.080000;;25.100000;198.800000;72.520000
63000;492.900000;623.400000;581.080000;;473.000000;641.200000;590.240000;;32.100000;323.600000;75.490000
64000;578.600000;709.200000;634.500000;;524.400000;676.100000;612.610000;;32.400000;256.000000;94.190000
65000;520.000000;935.900000;820.780000;;512.000000;954.000000;785.760000;;108.700000;308.700000;195.200000
66000;416.300000;760.400000;701.740000;;405.800000;819.600000;711.600000;;17.500000;317.800000;170.620000
67000;597.000000;874.100000;742.470000;;578.400000;962.400000;755.800000;;26.400000;238.600000;132.870000
68000;641.500000;996.900000;740.520000;;669.300000;814.300000;758.280000;;25.200000;156.800000;82.950000
69000;757.200000;1063.400000;840.890000;;691.100000;851.900000;790.050000;;25.700000;267.100000;160.770000
70000;561.900000;1009.000000;783.010000;;554.100000;1004.900000;780.270000;;100.500000;325.500000;237.420000
71000;758.000000;963.000000;797.550000;;748.400000;885.200000;785.520000;;28.100000;294.900000;193.520000
72000;640.100000;960.900000;751.340000;;563.500000;885.800000;750.790000;;98.800000;281.000000;175.180000
73000;627.600000;882.600000;804.260000;;571.900000;868.800000;798.190000;;67.000000;337.300000;208.980000
74000;740.100000;1100.100000;847.190000;;761.600000;1032.900000;832.600000;;98.200000;282.300000;206.710000
75000;546.200000;845.200000;782.080000;;787.300000;910.800000;833.510000;;27.500000;509.200000;264.390000
76000;794.600000;990.100000;892.270000;;838.700000;961.400000;889.970000;;82.400000;298.200000;185.290000
