Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
80000;757.900000;951.400000;821.830000;;9.700000;12.200000;10.610000
81000;834.400000;1067.900000;940.990000;;9.500000;15.800000;11.550000
82000;779.600000;1008.800000;865.280000;;9.600000;12.800000;10.770000
83000;785.500000;1060.300000;878.050000;;9.900000;13.000000;10.950000
84000;823.600000;1077.400000;957.350000;;9.900000;24.200000;13.800000
85000;775.800000;1139.500000;914.230000;;10.000000;25.600000;13.820000
86000;714.000000;1143.500000;855.660000;;10.000000;99.800000;20.260000
87000;876.300000;953.900000;906.520000;;10.200000;21.000000;12.100000
88000;849.200000;1117.500000;971.490000;;10.300000;58.000000;15.500000
89000;795.600000;1015.100000;869.980000;;10.400000;11.900000;10.900000
90000;890.000000;1155.900000;977.350000;;10.500000;13.700000;11.760000
91000;858.100000;1099.600000;899.900000;;10.600000;13.300000;11.440000
92000;871.600000;1208.400000;993.330000;;10.800000;27.100000;13.770000
93000;869.100000;1055.700000;923.840000;;10.900000;13.300000;11.840000
94000;881.000000;1069.600000;950.360000;;10.900000;87.900000;19.100000
95000;851.400000;1142.700000;928.910000;;11.000000;15.500000;12.160000
96000;881.100000;1120.700000;952.570000;;11.200000;14.000000;12.040000
97000;841.800000;1080.500000;937.260000;;11.200000;13.300000;12.190000
98000;966.900000;1245.600000;1066.860000;;11.500000;14.900000;12.690000
99000;914.500000;1126.500000;1000.450000;;11.500000;20.000000;14.980000
100000;923.500000;1144.300000;1014.070000;;11.700000;16.300000;12.700000
