Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
62000;336.200000;736.900000;391.450000;;332.900000;468.100000;367.230000;;8.000000;9.700000;8.410000
63000;344.500000;490.800000;370.460000;;343.500000;682.200000;401.050000;;7.700000;11.800000;8.520000
64000;334.300000;656.000000;402.250000;;334.000000;424.700000;356.410000;;7.900000;9.900000;8.410000
65000;300.200000;663.300000;346.640000;;300.100000;411.200000;318.050000;;7.900000;8.700000;8.350000
66000;487.500000;612.900000;516.210000;;492.400000;739.400000;540.530000;;8.000000;9.000000;8.450000
67000;495.300000;791.000000;588.560000;;501.400000;662.900000;549.340000;;8.200000;9.000000;8.610000
68000;508.100000;619.700000;553.220000;;492.400000;728.800000;545.320000;;8.200000;9.000000;8.560000
69000;517.000000;756.700000;552.930000;;513.600000;589.200000;529.820000;;8.300000;9.300000;8.790000
70000;511.900000;790.600000;580.380000;;513.800000;653.900000;551.590000;;8.400000;9.300000;8.870000
71000;520.900000;759.900000;569.090000;;527.200000;645.100000;562.580000;;8.500000;9.400000;8.970000
72000;555.600000;821.400000;606.610000;;543.300000;806.000000;600.280000;;8.700000;9.600000;9.060000
73000;556.700000;896.300000;605.380000;;561.200000;810.200000;606.060000;;8.800000;9.800000;9.230000
74000;538.000000;720.900000;562.920000;;525.900000;625.300000;555.100000;;8.900000;10.200000;9.330000
75000;559.600000;663.000000;586.950000;;516.700000;822.000000;601.170000;;8.900000;10.000000;9.290000
76000;565.600000;750.300000;635.410000;;562.800000;757.400000;617.690000;;9.100000;15.800000;11.660000
77000;560.300000;724.700000;594.450000;;561.000000;703.100000;592.150000;;9.300000;17.600000;10.650000
78000;572.100000;733.000000;619.200000;;574.300000;698.700000;609.140000;;9.400000;10.000000;9.720000
79000;592.200000;771.700000;650.730000;;590.800000;890.300000;660.820000;;9.500000;10.700000;9.940000
80000;582.300000;673.200000;608.520000;;587.000000;750.500000;635.850000;;9.600000;14.200000;10.420000
81000;590.600000;691.000000;627.300000;;593.300000;696.400000;636.490000;;9.600000;16.400000;12.090000
82000;596.500000;736.100000;636.630000;;603.100000;909.100000;664.680000;;9.800000;10.500000;10.190000
83000;619.600000;735.900000;651.260000;;611.600000;719.900000;645.370000;;10.000000;10.800000;10.390000
84000;632.200000;688.400000;651.080000;;629.300000;736.500000;654.010000;;10.000000;13.500000;10.920000
85000;646.400000;726.600000;672.590000;;648.500000;999.400000;693.350000;;10.100000;11.100000;10.520000
86000;686.200000;815.600000;764.000000;;629.700000;805.100000;763.290000;;10.300000;11.000000;10.590000
87000;879.900000;926.600000;891.240000;;876.400000;933.200000;890.380000;;10.300000;11.400000;10.700000
88000;708.100000;916.300000;740.830000;;709.700000;785.800000;734.180000;;10.400000;11.700000;11.030000
89000;698.800000;1100.000000;758.150000;;703.500000;858.500000;744.720000;;10.500000;11.800000;11.040000
90000;703.600000;892.600000;736.230000;;703.400000;827.600000;732.930000;;10.600000;11.600000;10.980000
91000;711.700000;996.100000;792.320000;;723.400000;951.000000;790.810000;;11.300000;18.300000;12.980000
92000;721.500000;1070.100000;805.110000;;725.700000;821.000000;763.150000;;10.800000;12.200000;11.360000
93000;723.900000;890.700000;793.800000;;737.300000;861.200000;779.380000;;11.000000;16.800000;12.050000
94000;736.900000;1090.600000;803.620000;;732.400000;926.100000;793.670000;;11.200000;12.700000;11.720000
95000;738.600000;1105.100000;821.570000;;742.800000;827.400000;772.390000;;11.300000;21.800000;12.700000
96000;750.300000;903.900000;784.880000;;754.000000;850.900000;779.020000;;11.300000;15.600000;12.160000
97000;747.400000;995.300000;787.990000;;748.500000;1025.300000;787.080000;;11.300000;12.400000;11.770000
98000;750.900000;955.000000;805.340000;;761.200000;1317.500000;853.970000;;11.800000;20.500000;12.920000
99000;752.700000;1030.400000;857.800000;;747.400000;983.600000;832.250000;;11.600000;19.400000;12.810000
100000;773.400000;886.000000;810.560000;;772.000000;895.000000;812.480000;;11.700000;14.900000;12.060000
