Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
62000;0.400000;0.900000;0.520000;;0.400000;0.600000;0.470000;;0.400000;0.500000;0.470000
63000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.420000
64000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.440000;;0.400000;0.500000;0.410000
65000;0.400000;0.500000;0.440000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.410000
66000;0.400000;0.500000;0.430000;;0.400000;1.000000;0.460000;;0.400000;0.500000;0.410000
67000;0.400000;0.500000;0.420000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.420000
68000;0.400000;0.500000;0.450000;;0.400000;0.500000;0.430000;;0.400000;0.500000;0.410000
69000;0.400000;2.100000;0.700000;;0.400000;0.800000;0.520000;;0.400000;0.600000;0.510000
70000;0.400000;0.700000;0.510000;;0.400000;0.500000;0.480000;;0.400000;0.600000;0.490000
71000;0.400000;1.800000;0.670000;;0.400000;0.700000;0.510000;;0.300000;0.500000;0.470000
72000;0.200000;0.600000;0.380000;;0.200000;19.800000;2.280000;;0.200000;0.700000;0.360000
73000;0.400000;0.700000;0.530000;;0.500000;0.700000;0.560000;;0.500000;0.800000;0.570000
74000;0.200000;0.600000;0.300000;;0.200000;0.400000;0.260000;;0.200000;0.400000;0.250000
75000;0.200000;0.300000;0.250000;;0.200000;0.300000;0.250000;;0.200000;0.300000;0.250000
76000;0.200000;0.600000;0.420000;;0.200000;0.700000;0.400000;;0.200000;0.600000;0.390000
77000;0.200000;0.300000;0.260000;;0.200000;0.300000;0.250000;;0.200000;0.300000;0.260000
78000;0.200000;0.600000;0.430000;;0.300000;0.500000;0.440000;;0.300000;0.600000;0.460000
79000;0.200000;0.600000;0.280000;;0.200000;0.400000;0.280000;;0.200000;0.300000;0.260000
80000;0.200000;0.700000;0.360000;;0.200000;0.500000;0.310000;;0.200000;0.600000;0.290000
81000;0.400000;1.800000;0.680000;;0.400000;0.900000;0.540000;;0.400000;0.600000;0.520000
82000;0.200000;0.300000;0.250000;;0.200000;0.300000;0.250000;;0.200000;0.300000;0.250000
83000;0.200000;0.800000;0.380000;;0.200000;0.600000;0.320000;;0.200000;0.600000;0.320000
84000;0.500000;0.600000;0.510000;;0.400000;0.600000;0.520000;;0.400000;0.600000;0.500000
85000;0.200000;0.300000;0.250000;;0.200000;0.300000;0.260000;;0.200000;0.300000;0.260000
86000;0.200000;0.500000;0.280000;;0.200000;0.400000;0.260000;;0.200000;0.300000;0.250000
87000;0.200000;0.300000;0.250000;;0.200000;0.300000;0.250000;;0.200000;0.300000;0.240000
88000;0.200000;0.700000;0.300000;;0.200000;0.400000;0.270000;;0.200000;0.400000;0.270000
89000;0.200000;0.300000;0.250000;;0.200000;0.300000;0.240000;;0.200000;0.300000;0.240000
